GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000130589.12,4916.721906,0.832287811,0.15154518,5.49201111,3.97E-08,1.06E-05
ENSG00000168843.9,1386.202289,-2.101639683,0.383034013,-5.486822608,4.09E-08,1.08E-05
ENSG00000176406.16,1947.089518,-1.993316968,0.363706718,-5.480561319,4.24E-08,1.11E-05
ENSG00000204637.3,66.30080365,-0.988261923,0.180682727,-5.469598236,4.51E-08,1.18E-05
ENSG00000183378.7,19.06949311,-2.260304091,0.413855204,-5.461581905,4.72E-08,1.22E-05
ENSG00000227694.1,152.3646326,-1.273723408,0.233276181,-5.460152004,4.76E-08,1.22E-05
ENSG00000123307.3,128.882073,-2.861295373,0.524620567,-5.454028211,4.92E-08,1.24E-05
ENSG00000254505.4,91.86298349,1.183674448,0.216978516,5.455261046,4.89E-08,1.24E-05
ENSG00000100362.8,133.5435816,-2.634195182,0.483259719,-5.450889201,5.01E-08,1.26E-05
ENSG00000176769.9,16.13036956,-2.122329915,0.389563571,-5.447968115,5.09E-08,1.27E-05
ENSG00000204889.6,17.35853054,-2.870589171,0.52735237,-5.443398639,5.23E-08,1.29E-05
ENSG00000230831.1,14.08511627,-2.786505681,0.513057967,-5.431171252,5.60E-08,1.37E-05
ENSG00000163116.5,144.065745,-1.268805585,0.233894814,-5.424684554,5.81E-08,1.41E-05
ENSG00000176155.14,2175.28741,0.997616038,0.184219952,5.415352818,6.12E-08,1.48E-05
ENSG00000187033.5,297.9744283,-2.728969769,0.5042439,-5.412003535,6.23E-08,1.50E-05
ENSG00000244585.1,145.9712751,-1.509295628,0.279208807,-5.405616114,6.46E-08,1.54E-05
ENSG00000259370.1,4.201328929,-2.774281079,0.513513349,-5.402549093,6.57E-08,1.55E-05
ENSG00000180483.6,37.8190332,-2.623025934,0.486203342,-5.394915473,6.86E-08,1.61E-05
ENSG00000198744.5,391.0424487,-1.998065434,0.370790887,-5.388658417,7.10E-08,1.65E-05
ENSG00000225217.1,603.0770293,1.828258112,0.340391808,5.371040275,7.83E-08,1.81E-05
ENSG00000237049.1,40.5748985,-1.339055388,0.249948882,-5.357316979,8.45E-08,1.94E-05
ENSG00000235263.1,10.29230707,-2.747098291,0.513098423,-5.353940232,8.61E-08,1.96E-05
ENSG00000201510.1,238.7600811,-1.275067699,0.238374147,-5.349018412,8.84E-08,2.01E-05
ENSG00000264558.1,27.53729671,-1.723184853,0.322644469,-5.340816337,9.25E-08,2.08E-05
ENSG00000180988.2,10.18091908,2.392467101,0.448290536,5.336867296,9.46E-08,2.11E-05
ENSG00000236976.1,27.36220545,-1.649583369,0.309132383,-5.336171359,9.49E-08,2.11E-05
ENSG00000238426.1,127.8657662,-2.375148632,0.446048501,-5.324866307,1.01E-07,2.23E-05
ENSG00000215906.4,15.35077175,-2.824582872,0.531637434,-5.312987184,1.08E-07,2.35E-05
ENSG00000226450.2,37.96760848,1.368090069,0.257503138,5.312906397,1.08E-07,2.35E-05
ENSG00000218208.1,343.5856036,-1.299548456,0.244704457,-5.310685676,1.09E-07,2.36E-05
ENSG00000158445.7,1692.673161,-1.696751181,0.319810509,-5.305489134,1.12E-07,2.42E-05
ENSG00000188107.9,656.0140519,-2.627844467,0.495923317,-5.298892745,1.17E-07,2.49E-05
