GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000201201.1,51.79439644,-2.097308487,0.283329335,-7.4023697,1.34E-13,3.33E-11
ENSG00000202058.1,19036.92029,-1.193330272,0.161197788,-7.402894842,1.33E-13,3.33E-11
ENSG00000261054.1,338.9614772,-3.163632952,0.42873,-7.379079965,1.59E-13,3.94E-11
ENSG00000237749.3,42.89219642,-2.28350904,0.310029408,-7.365459463,1.77E-13,4.33E-11
ENSG00000240803.2,633.4085574,-1.698321033,0.230903336,-7.355116914,1.91E-13,4.64E-11
ENSG00000261490.1,352.6376528,1.793903085,0.244088723,7.349389445,1.99E-13,4.81E-11
ENSG00000228399.1,78.81394512,-1.975299226,0.26899053,-7.343378307,2.08E-13,4.99E-11
ENSG00000133247.9,1207.046549,0.992086064,0.135157581,7.340217677,2.13E-13,5.07E-11
ENSG00000200312.1,34071.46714,-1.014928485,0.138487314,-7.328674768,2.32E-13,5.49E-11
ENSG00000240231.1,52.54292324,-1.612596164,0.220307042,-7.319766749,2.48E-13,5.83E-11
ENSG00000248641.1,128.6634766,-1.135212427,0.155134783,-7.317588011,2.52E-13,5.88E-11
ENSG00000005379.11,7243.643573,0.954661963,0.130520861,7.314248101,2.59E-13,5.98E-11
ENSG00000236735.2,161.2977514,-1.360513602,0.186208688,-7.306391632,2.74E-13,6.30E-11
ENSG00000214612.3,675.2522577,-1.033048197,0.141809347,-7.284768009,3.22E-13,7.34E-11
ENSG00000244151.1,187.3018578,2.209978245,0.304500149,7.257724675,3.94E-13,8.91E-11
ENSG00000164896.15,5121.227158,0.875842066,0.120915228,7.243438927,4.37E-13,9.83E-11
ENSG00000229814.1,126.6443591,-1.18022575,0.163188479,-7.232285974,4.75E-13,1.06E-10
ENSG00000260261.1,183.107436,1.631919937,0.225971242,7.221803637,5.13E-13,1.14E-10
ENSG00000110274.10,11628.70733,0.871566501,0.120866651,7.210975821,5.56E-13,1.22E-10
ENSG00000214826.4,314.6253358,1.644813133,0.229056991,7.180803022,6.93E-13,1.52E-10
ENSG00000142330.15,2534.965842,1.201180666,0.167313998,7.17920008,7.01E-13,1.52E-10
ENSG00000267283.1,108.8448388,1.9253918,0.268889317,7.160536604,8.04E-13,1.73E-10
ENSG00000243964.1,39.9153701,-1.609390117,0.224842218,-7.157864432,8.19E-13,1.76E-10
ENSG00000102904.10,872.1282424,1.11250826,0.15557487,7.150950936,8.62E-13,1.84E-10
ENSG00000213448.3,22.56095695,-2.283358781,0.320180598,-7.131471404,9.93E-13,2.10E-10
ENSG00000239398.2,1542.355905,-1.332443867,0.186907639,-7.128889303,1.01E-12,2.13E-10
ENSG00000262484.1,116.5609235,1.328309282,0.18670137,7.114619889,1.12E-12,2.34E-10
ENSG00000213339.4,2790.562704,0.94834535,0.133373498,7.110448212,1.16E-12,2.40E-10
ENSG00000262732.1,24.28778275,-3.186289128,0.448323191,-7.107125384,1.18E-12,2.44E-10
ENSG00000149131.11,3313.348348,-2.221983587,0.312832988,-7.102779021,1.22E-12,2.51E-10
ENSG00000271250.1,85.60656966,-1.826328982,0.257331195,-7.097192326,1.27E-12,2.59E-10
