locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
X:153618314-153650065,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,20.6308,24.1792,0.228965,0.0870199,0.70635,0.999983,no
12:31173696-31257725,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.4298,1.89098,0.403322,0.276248,0.2502,0.999983,no
12:13080659-13193613,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.1299,16.074,-0.00501002,-0.00564357,0.98815,0.999983,no
12:13043715-13070871,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.07278,5.84004,-0.0563799,-0.0429852,0.90715,0.999983,no
X:149529688-149682448,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.0173,0.712185,-0.514428,-0.257961,0.37665,0.999983,no
11:60739114-60787849,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.380392,0.582175,0.613965,0.379319,0.1645,0.999983,no
4:1723226-1746898,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.42491,1.97005,0.467367,0.417377,0.2164,0.999983,no
6:96806249-97003152,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,13.0185,12.5405,-0.0539647,-0.0767418,0.8314,0.999983,no
11:65029232-65073060,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.44115,3.15354,-0.125916,-0.111968,0.74145,0.999983,no
8:144519824-144623623,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.55925,1.83079,0.231609,0.197514,0.61555,0.999983,no
11:64945076-64979477,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,27.3981,27.7766,0.0197964,0.0238831,0.9371,0.999983,no
3:132036210-132087142,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.739789,0.662237,-0.159766,-0.104968,0.77865,0.999983,no
2:63348517-64054977,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,92.62,75.9344,-0.28657,-0.387933,0.3345,0.999983,no
4:41992488-42092474,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,27.1873,25.2313,-0.107714,-0.127188,0.7154,0.999983,no
1:149900542-149908791,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.21193,2.80626,0.343345,0.343683,0.30485,0.999983,no
10:101419262-101515891,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,28.2327,28.2004,-0.00165169,-0.00198853,0.99645,0.999983,no
14:91737666-91884188,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.45224,4.30121,-0.342105,-0.184215,0.68865,0.999983,no
12:42550905-42632151,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,11.7598,10.9716,-0.100091,-0.082043,0.75615,0.999983,no
10:180404-300577,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,40.1679,39.758,-0.014798,-0.0219951,0.95235,0.999983,no
X:48534984-48549818,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.22204,2.7846,-0.210503,-0.203047,0.6402,0.999983,no
16:89679715-89704839,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.116991,0.120407,0.0415166,0.0176413,0.94585,0.999983,no
22:18216905-18257536,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.20241,8.66953,0.483124,0.513651,0.2223,0.999983,no
5:138282408-138667360,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,125.688,131.596,0.0662723,0.0804529,0.831,0.999983,no
7:44552133-44580914,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.0594336,0.0249879,-1.25005,0,1,1,no
17:48423452-48440499,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.41187,8.02871,0.115332,0.165196,0.67455,0.999983,no
2:110550334-110615272,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.0937369,0.0980673,0.0651549,0,1,1,no
8:27092839-27115937,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.463714,0.184341,-1.33086,-0.803012,0.0989,0.999983,no
