locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1:36602172-36615098,AMD Peripheral Retina,Normal Peripheral Retina,OK,35.3134,34.0891,-0.0509032,-0.0735985,0.80795,0.999533,no
1:36690016-36770958,AMD Peripheral Retina,Normal Peripheral Retina,OK,37.9947,35.0121,-0.117942,-0.205861,0.525,0.980745,no
9:139743175-139755249,AMD Peripheral Retina,Normal Peripheral Retina,OK,31.499,36.8594,0.226729,0.400232,0.32695,0.91188,no
9:139942549-139948497,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0961923,0.0948376,-0.0204617,0,1,1,no
2:160568999-160761260,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.23866,0.857021,-0.531374,-0.179754,0.5409,0.985918,no
1:235294497-235507847,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.6657,19.6113,0.0712932,0.0758494,0.7662,0.999533,no
1:241695433-241965435,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.52937,1.34641,-0.183821,-0.110405,0.8483,0.999533,no
1:243419319-244014381,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.1531,28.6787,0.189243,0.0989164,0.65445,0.999533,no
2:220154344-220174370,AMD Peripheral Retina,Normal Peripheral Retina,OK,40.8587,37.4947,-0.123957,-0.20257,0.5343,0.984494,no
1:210501595-210849638,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.4136,2.39529,-0.0109885,-0.0147714,0.9698,0.999533,no
1:10270862-10441661,AMD Peripheral Retina,Normal Peripheral Retina,OK,54.5326,52.9344,-0.0429119,-0.0534986,0.8308,0.999533,no
6:1610680-1614127,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.61702,0.215198,-2.9096,-2.94794,5.00E-05,0.00446402,yes
22:47158517-47571336,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.97549,9.26052,0.215519,0.289422,0.4793,0.971131,no
14:64319682-64805317,AMD Peripheral Retina,Normal Peripheral Retina,OK,57.4716,66.9193,0.219574,0.131391,0.30465,0.899671,no
14:67913800-68067004,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.69845,5.7769,0.643372,0.429579,0.06135,0.490676,no
20:50213052-50385173,AMD Peripheral Retina,Normal Peripheral Retina,OK,22.0253,21.3578,-0.0444001,-0.0860668,0.82095,0.999533,no
20:55904814-55919050,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0,0.000323041,inf,0,1,1,no
20:54572495-54580528,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.347206,0.425089,0.291973,0.302937,0.4548,0.963184,no
11:74407473-74442430,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0406905,0.0784394,0.946888,0,1,1,no
11:73111531-73309234,AMD Peripheral Retina,Normal Peripheral Retina,OK,29.6982,25.287,-0.231977,-0.457343,0.1962,0.800246,no
11:73087308-73108519,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.12512,5.11461,0.31019,0.497908,0.21295,0.822661,no
14:88176762-88460009,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.4119,11.9201,0.19516,0.324212,0.31775,0.908098,no
2:203130438-203168389,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.8371,16.5619,0.484562,0.718965,0.03905,0.392854,no
1:16679069-16763919,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.5752,12.4879,-0.572854,-0.958003,0.01265,0.214182,no
7:150642048-150675403,AMD Peripheral Retina,Normal Peripheral Retina,OK,14.1157,14.1775,0.00629581,0.0134007,0.9749,0.999533,no
7:148393558-148498128,AMD Peripheral Retina,Normal Peripheral Retina,OK,32.8319,37.986,0.210367,0.432384,0.29625,0.893894,no
5:153369687-153825410,AMD Peripheral Retina,Normal Peripheral Retina,OK,47.9264,40.91,-0.228369,-0.175884,0.7397,0.999533,no
5:156687131-157002783,AMD Peripheral Retina,Normal Peripheral Retina,OK,33.4489,28.3157,-0.24036,-0.281158,0.31175,0.902253,no
6:149539061-149732749,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.1757,9.34256,-0.123232,-0.201716,0.61415,0.993963,no
6:149887429-149912884,AMD Peripheral Retina,Normal Peripheral Retina,OK,14.7108,13.1191,-0.165201,-0.311348,0.43415,0.957252,no
2:37311593-37384208,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.89134,4.97531,-0.243809,-0.199639,0.419,0.952255,no
